x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0,0.0188165,-2.21552e-28,294,-0.076951,3.59658e-11,3.56172e-21,3.037e-22,0.196495,0,5.35009e-10,3.72764e-15,7.05015e-13,0,7.96242e-24,1.9758e-22,2.2144e-32,2.60285e-19,0.156371,4.54511e-10,2.04011e-10,0,1.15681e-11,4.16633e-35,1.61756e-27,3.85087e-12,0,2.0071e-11,1.57021e-36,3.24945e-11,2.6642e-30,1.26091e-11,2.65961e-32,5.46424e-12,1.99228e-15,7.77982e-21,5.54512e-31,3.97109e-21,2.10013e-14,1.71411e-36,9.21289e-20,4.88967e-16,7.88334e-17,4.14912e-23,9.15325e-25,2.67066e-14,4.11803e-22,1.52479e-32,1.36747e-17,1.22153e-18,1.16418e-15,4.97929e-25,0.647119,1.55751e-05,2.09807e-21,1.93398e-13,2.51638e-30,6.72958e-14,1
0.00408163,0.0187524,0.0157043,294,-0.076951,1.60686e-10,3.64355e-27,1.35686e-21,0.196495,7.1398e-25,2.39029e-09,1.66542e-14,3.14983e-12,0,4.29165e-32,1.7708e-28,3.19061e-36,1.16289e-18,0.156371,2.03064e-09,9.11471e-10,0,5.16832e-11,1.86141e-34,7.22686e-27,1.72047e-11,0,8.96724e-11,7.01525e-36,1.45177e-10,1.1903e-29,5.63345e-11,1.18825e-31,2.44129e-11,8.901e-15,1.76155e-22,3.96693e-34,4.01198e-21,9.38283e-14,7.65857e-36,4.11609e-19,2.18458e-15,3.52208e-16,4.13676e-23,6.37117e-32,1.19318e-13,1.8181e-21,6.81771e-32,6.10949e-17,5.45748e-18,5.20124e-15,2.22462e-24,0.647119,1.55751e-05,9.37363e-21,8.64053e-13,1.12426e-29,3.00661e-13,1
0.00816327,0.0185601,0.0314086,294,-0.076951,7.1643e-10,2.2936e-32,3.19788e-22,0.196495,1.78683e-25,1.06573e-08,7.42535e-14,1.40438e-11,0,2.29476e-40,3.64832e-32,1.1947e-39,5.40444e-18,0.156371,9.05378e-09,4.06386e-09,1.65254e-31,2.30433e-10,2.03466e-34,1.49701e-25,7.67085e-11,0,3.99811e-10,1.0326e-34,6.47285e-10,2.26194e-28,2.51172e-10,1.24866e-31,1.08847e-10,3.96858e-14,3.95756e-24,1.35147e-33,4.19418e-21,4.18341e-13,4.83345e-41,1.76298e-18,9.74013e-15,1.57035e-15,4.12578e-23,4.39942e-39,5.31991e-13,8.08445e-21,5.47992e-39,2.72397e-16,2.43326e-17,2.31901e-14,3.28944e-24,0.647119,1.55751e-05,4.17932e-20,3.85245e-12,1.17846e-29,1.34052e-12,1
0.0122449,0.0182396,0.0471129,294.001,-0.076951,3.17309e-09,2.36307e-32,6.59403e-23,0.196494,2.88891e-25,4.72015e-08,3.28872e-13,6.22003e-11,0,1.21107e-48,3.31753e-32,5.15863e-40,2.43141e-17,0.156371,4.00995e-08,1.7999e-08,3.31475e-31,1.0206e-09,4.32663e-34,2.98253e-24,3.39745e-10,1.43248e-44,1.77078e-09,2.02014e-33,2.86685e-09,4.4287e-27,1.11245e-09,1.14411e-31,4.82085e-10,1.7577e-13,8.77483e-26,5.9779e-33,4.99963e-21,1.85285e-12,4.96718e-41,7.73508e-18,4.31394e-14,6.95512e-15,4.1212e-23,7.03413e-46,2.3562e-12,3.57848e-20,4.07593e-46,1.20645e-15,1.0777e-16,1.0271e-13,7.99221e-24,0.647119,1.55751e-05,1.85106e-19,1.70626e-11,1.08765e-29,5.93721e-12,1
0.0163265,0.0177911,0.0628174,294.003,-0.076951,1.38876e-08,1.64336e-31,1.31606e-23,0.196494,4.89932e-24,2.06586e-07,1.43938e-12,2.72231e-10,0,4.24014e-53,2.89793e-32,1.27619e-39,1.06755e-16,0.156371,1.75503e-07,7.87759e-08,3.89199e-30,4.46683e-09,1.2122e-32,5.73066e-23,1.48695e-09,1.09577e-42,7.75013e-09,3.91289e-32,1.25473e-08,8.48422e-26,4.86883e-09,1.31414e-31,2.10993e-09,7.69289e-13,1.90932e-27,2.63161e-32,8.51258e-21,8.10932e-12,3.45466e-40,3.37822e-17,1.88807e-13,3.04403e-14,4.14517e-23,2.99681e-44,1.03124e-11,1.56598e-19,9.69596e-53,5.28026e-15,4.71675e-16,4.49529e-13,2.85026e-23,0.647119,1.55751e-05,8.10181e-19,7.46777e-11,1.17106e-29,2.59853e-11,1
0.0204082,0.0172147,0.0785225,294.011,-0.076951,5.97316e-08,3.85331e-30,2.93549e-24,0.196493,9.05281e-23,8.88539e-07,6.19108e-12,1.17088e-09,0,3.87411e-54,2.78042e-32,8.26353e-38,4.59404e-16,0.15637,7.54848e-07,3.3882e-07,8.08734e-29,1.92121e-08,7.81621e-31,1.06053e-21,6.39549e-09,8.71547e-41,3.33338e-08,7.57186e-31,5.39666e-08,1.57101e-24,2.09412e-08,2.62663e-30,9.07496e-09,3.30876e-12,4.05183e-29,1.17228e-31,6.48082e-20,3.48787e-11,8.10349e-39,1.45235e-16,8.12072e-13,1.30926e-13,4.29202e-23,2.3834e-42,4.43541e-11,6.73517e-19,6.15402e-54,2.27108e-14,2.0287e-15,1.93345e-12,1.16261e-22,0.647119,1.55751e-05,3.48524e-18,3.21194e-10,5.38063e-29,1.11764e-10,1
0.0244898,0.0165117,0.0942306,294.047,-0.076951,2.50999e-07,1.42082e-28,6.93373e-24,0.196488,1.59702e-21,3.73374e-06,2.60198e-11,4.92018e-09,3.45176e-41,4.76163e-55,2.76121e-31,6.06583e-36,1.93086e-15,0.156368,3.17196e-06,1.42376e-06,2.23983e-27,8.07315e-08,5.50041e-29,1.8727e-20,2.68746e-08,6.48253e-39,1.40072e-07,1.58205e-29,2.26774e-07,2.78629e-23,8.79971e-08,1.88629e-28,3.8134e-08,1.39038e-11,8.32247e-31,5.6889e-31,3.15719e-19,1.46564e-10,2.99273e-37,6.10335e-16,3.41242e-12,5.50165e-13,4.95109e-23,1.77215e-40,1.86381e-10,2.83018e-18,7.5623e-55,9.54332e-14,8.52485e-15,8.12458e-12,4.82432e-22,0.647119,1.55751e-05,1.46563e-17,1.34969e-09,1.0272e-27,4.69646e-10,0.999999
0.0285714,0.0156864,0.109951,294.193,-0.076951,1.02398e-06,7.32331e-27,8.84284e-23,0.196469,2.64679e-20,1.52322e-05,1.06224e-10,2.00724e-08,7.91521e-41,1.33526e-52,1.43769e-29,4.10212e-34,7.8786e-15,0.156358,1.29404e-05,5.80839e-06,9.16943e-26,3.29354e-07,3.67094e-27,3.11679e-19,1.09638e-07,4.44286e-37,5.71441e-07,4.27875e-28,9.2515e-07,4.72227e-22,3.58994e-07,1.27525e-26,1.55572e-07,5.67221e-11,1.63487e-32,4.9572e-30,1.32998e-18,5.97926e-10,1.55249e-35,2.49181e-15,1.39214e-11,2.24446e-12,1.05238e-22,1.21288e-38,7.60363e-10,1.1546e-17,2.11889e-52,3.8933e-13,3.47781e-14,3.31452e-11,1.96275e-21,0.64712,1.55751e-05,5.99848e-17,5.50622e-09,3.04006e-26,1.91597e-09,0.999997
0.0326531,0.0147543,0.125721,294.757,-0.076951,4.02676e-06,4.07839e-25,1.16374e-21,0.196395,4.027e-19,5.99002e-05,4.18944e-10,7.89333e-08,2.50633e-41,1.43337e-49,7.45881e-28,2.46072e-32,3.09915e-14,0.156321,5.08875e-05,2.28413e-05,4.6208e-24,1.29517e-06,2.18635e-25,4.82168e-18,4.31147e-07,2.80167e-35,2.24717e-06,1.64547e-26,3.63812e-06,7.81205e-21,1.41173e-06,7.65763e-25,6.11782e-07,2.23058e-10,2.99067e-34,1.01005e-28,5.27413e-18,2.35132e-09,8.86394e-34,9.83144e-15,5.47452e-11,8.82627e-12,5.3625e-22,7.60736e-37,2.9901e-09,4.54043e-17,2.31892e-49,1.53103e-12,1.36764e-13,1.30342e-10,7.72141e-21,0.647121,1.55749e-05,2.39109e-16,2.1653e-08,1.30945e-24,7.5345e-09,0.999987
0.0367347,0.0137656,0.14167,296.844,-0.076951,1.5127e-05,2.05886e-23,1.49302e-20,0.19612,5.37065e-18,0.000225022,1.59265e-09,2.96512e-07,3.25913e-43,3.16469e-44,3.62682e-26,1.2455e-30,1.166e-13,0.156186,0.000191165,8.58058e-05,2.20749e-22,4.86545e-06,1.08867e-23,6.82725e-17,1.61965e-06,1.70178e-33,8.44175e-06,7.38433e-25,1.3667e-05,1.35099e-19,5.30333e-06,3.89474e-23,2.29822e-06,8.3794e-10,4.73896e-36,1.61187e-27,1.99159e-17,8.83299e-09,4.90185e-32,3.74365e-14,2.05655e-10,3.31568e-11,2.14107e-21,4.53036e-35,1.12326e-08,1.70566e-16,3.01943e-43,5.75147e-12,5.13767e-13,4.89645e-10,2.91341e-20,0.647125,1.55744e-05,9.48539e-16,8.13419e-08,7.30245e-23,2.83042e-08,0.999953
0.0408163,0.0128684,0.158201,304.062,-0.076951,5.35448e-05,8.5302e-22,1.71534e-19,0.19517,5.72565e-17,0.000796507,5.89925e-09,1.04943e-06,7.37157e-44,2.23521e-43,1.52121e-24,4.90658e-29,4.18792e-13,0.155715,0.000676664,0.000303726,8.24695e-21,1.72222e-05,4.03795e-22,8.76348e-16,5.73307e-06,1.22598e-31,2.98812e-05,3.10942e-23,4.8377e-05,2.54427e-18,1.87722e-05,1.54724e-21,8.13501e-06,2.96605e-09,6.05071e-37,2.57059e-26,7.13858e-17,3.12661e-08,2.75512e-30,1.39613e-13,7.27947e-10,1.17365e-10,7.81009e-21,3.0517e-33,3.97601e-08,6.03753e-16,4.09788e-43,2.03585e-11,1.81858e-12,1.73319e-09,1.04986e-19,0.647139,1.55725e-05,4.09332e-15,2.87926e-07,4.76913e-21,1.00188e-07,0.999832
0.044898,0.0124304,0.176293,326.661,-0.076951,0.000174138,3.04676e-20,1.80419e-18,0.192186,4.5911e-16,0.00259039,2.23004e-08,3.41133e-06,2.50967e-43,3.12921e-40,5.7486e-23,1.57339e-27,1.55577e-12,0.154239,0.00220064,0.000987777,2.19346e-19,5.60099e-05,1.01155e-20,1.08442e-14,1.8645e-05,2.02884e-29,9.71795e-05,1.27988e-21,0.000157331,4.51395e-17,6.10506e-05,4.68053e-20,2.64566e-05,9.64617e-09,4.19999e-35,5.3997e-25,2.40985e-16,1.01683e-07,2.32922e-28,5.42896e-13,2.36729e-09,3.81694e-10,2.71113e-20,4.13899e-31,1.29307e-07,1.9635e-15,4.10848e-40,6.62096e-11,5.91437e-12,5.63667e-09,3.64588e-19,0.647185,1.55666e-05,2.38911e-14,9.36389e-07,3.35211e-19,3.25831e-07,0.999453
